Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Website,Contact Email,Full Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,New
Revolutionary Security,https://www.crunchbase.com/organization/revolutionary-security,"Computer, Cyber Security, Network Security","Blue Bell, Pennsylvania, United States",Primary focus is helping clients and partners proactively defend against advanced cyber threats.,"33,023",1/1/16,year,https://www.rev-sec.com,info@rev-sec.com,Revolutionary Security is an experienced and talented team of cyber security professionals whose primary mission is to provide our clients with knowledge and expertise to defend their enterprises against advanced cyber attacks.,2500000,USD,2500000,,New
Risk Ledger,https://www.crunchbase.com/organization/risk-ledger,"Cyber Security, Network Security, Risk Management, Security, Supply Chain Management","London, England, United Kingdom",We are a cyber security business that has developed an easy-to-use platform to enable organisations to manage supply chain security risks,"39,304",4/22/18,day,https://www.riskledger.com,info@riskledger.com,"We help our clients answer a simple question – how does an organisation know that the suppliers it chooses to work with are not a security risk? The 2018 'Data Risk in the Third-Party Ecosystem' report by the Ponemon Institute found that 61% of data breaches were caused by a third party. Traditionally, there are no easy ways for companies to measure, monitor, and mitigate the security risks suppliers pose to their business.  In the same report, the Ponemon Institute found that only 16% of companies effectively manage and mitigate third-party security risks.  Risk Ledger is the first, fully scalable, third-party security assurance platform. We allow companies to conduct third-party assurance over their entire supply chain at a low cost - drastically cutting the time taken to manage a security assurance programme, including remediation. Compared with a traditional assurance programme, our clients report cutting costs by up to 75%, while halving the staff resources needed, by using Risk Ledger.",15000,GBP,20662,,In Contact
WitFoo,https://www.crunchbase.com/organization/witfoo,"Computer, Cyber Security, Internet, Network Security","Atlanta, Georgia, United States",WitFoo is a project dedicated to operationalizing the craft of information security.,"39,609",2/5/16,day,https://www.witfoo.com/,sales@witfoo.com,"Built by veterans of the military, law enforcement and cyber security, WitFoo is dedicated to delivering sustained success to the practitioners of cyber security operations. Hundreds of hours of research in the trenches with analysts, investigators, managers and executives led to the forming of WitFoo and the subsequent work. They arm the good guys with better gear to win in cyber warfare.",1626840,USD,1626840,,In Contact
Orchid Labs,https://www.crunchbase.com/organization/orchid-labs,"Cyber Security, FinTech, Internet, Software","San Francisco, California, United States",Orchid Labs is an open-source project committed to ending surveillance and censorship on the internet.,"41,752",1/1/17,year,https://orchid.com,ir@orchid.com,"Orchid Labs is an open-source project committed to ending surveillance and censorship on the internet. Orchid uses an overlay network built upon the existing internet, which is driven by a peer-to-peer tokenized bandwidth exchange, creating a more inclusive, liberated internet. Orchid Labs was founded in 2017 by Dr. Steven Waterhouse, Jay Freeman,  Brian J. Fox, Gustav Simonsson, and Stephen Bell.",47828073,USD,47828073,,New
Ironclad Encryption,https://www.crunchbase.com/organization/ironclad-encryption,"Computer, Cyber Security, Software","Houston, Texas, United States","Ironclad Encryption patented technology enhances secret key algorithms, making it virtually impossible to compromise stored and transmitted.","44,332",1/1/16,year,https://ironcladencryption.com/,info@ironcladencryption.com,"Ironclad Encryption is Dynamic Encryption. The encryption sequence changes continuously so there is never a correlation between data sent and data received. Ironclad Encryption brings innovation and next generation leadership to data encryption security. Their strategic and tactical data protection solutions strengthen existing encryption methods. Ironclad Encryption’s unique, patented technology may be used with both proactive and reactive techniques, helping their customers mitigate risk, manage compliance and achieve greater peace of mind. Ironclad Encryption technology is an enhancement to secret key algorithms. Their solutions increase the effectiveness of current encryption products, making it virtually impossible to compromise stored and transmitted data. ",1047655,USD,1047655,,New
Cowbell Cyber Inc,https://www.crunchbase.com/organization/cowbell-cyber-inc,"Cyber Security, Insurance, Software","Pleasanton, California, United States",Cyber Risk Observability & Insurance Platform,"47,070",1/3/19,day,https://cowbellcyber.ai,hello@cowbellcyber.com,Cowbell is a cyber risk and insurance observability platform for mid-to-large enterprises that aligns insurable threats to risk exposures by using deep learning techniques that proactively mitigate losses in the aftermath of cyberattacks.,,,,,In Contact
DataTribe,https://www.crunchbase.com/organization/datatribe,"Analytics, Big Data, Cyber Security, Incubators","Fulton, Maryland, United States",DataTribe is a startup studio commercializing innovative technologies. West coast business savvy meets east coast tech.,"47,927",3/1/16,month,https://Datatribe.com,info@datatribe.com,"We are unlike anything else in the startup world. We are not a startup incubator, studio, or a standard VC.  We co-build with startup teams step-by-step. We help build the product, define the roadmap and assemble the team. We facilitate initial pilot customers and ensure product-market fit. Our staff drives a tremendous amount of the “heavy lifting” of building the early blocks of the company. We are there hand-in-hand with the startup every step of the way through the A round. We partner with entrepreneurs who are alumni ofIntelligence Agencies, Research Labs and other innovative government-based organizations. We provide the business DNA, so that these experts can commercialize their breakthrough Cyber Security, Big Data and Analytics innovations. As entrepreneurs, founders, investors and former CEO’s of technology firms with backgrounds in the Intelligence Community, Special Operations, and Silicon Valley, DataTribe is built to be the bridge between revolutionary public-sector technology and commercial market opportunity.  DataTribe is unique in that we provide up to $1.5M in seed funding and up to an additional $1.5M in A round funding. Our staff is located outside the DC Beltway in Fulton, Maryland and in Palo Alto, CA. DataTribe is supported by a network of top technology CEOs, CTOs, Product Managers, UI/UX, designers, enterprise sales executives and developers to accelerate our startups path to commercial success resulting in optimal resource allocations. There are two ways a startup can find its way through the early minefield of company building: one, is by trial-and-error -which we don’t recommend; or two,  find a map. DataTribe is that map.",,,,,In Contact
Barclays Ventures,https://www.crunchbase.com/organization/barclays-ventures,"Analytics, Blockchain, Cyber Security, Finance, Financial Services, Information Technology, Venture Capital","London, England, United Kingdom","Venture capital unit aiming to accelerate the growth of new business lines, and customer propositions around areas of disruptive technology","56,012",1/1/18,year,https://home.barclays/news/2019/2/barclays-uk-ventures--developing-business-models-for-the-future-/,internetsecurity@barclays.co.uk,"Venture capital and partnership unit aiming to accelerate the growth of new business lines, and customer propositions around areas of disruptive technology",,,,,New
Idaptive,https://www.crunchbase.com/organization/idaptive,"Analytics, Cyber Security, Identity Management, Machine Learning","Santa Clara, California, United States","Idaptive Next-Gen Access is the only industry-recognized solution that uniquely converges SSO, MFA, EMM and User Behavior Analytics.","64,042",10/1/18,day,https://www.idaptive.com,hello@idaptive.com,"Idaptive delivers Next-Gen Access, protecting organizations from data breaches through a Zero Trust approach. Idaptive secures access to applications and endpoints by verifying every user, validating their devices, and intelligently limiting their access. Idaptive Next-Gen Access is the only industry-recognized solution that uniquely converges single single-on (SSO), adaptive multifactor authentication (MFA), enterprise mobility management (EMM) and user behavior analytics (UBA). With Idaptive, organizations experience increased security, reduced complexity and have newfound confidence to drive new business models and deliver awesome customer experiences. Over 2,000 organizations worldwide trust Idaptive to proactively secure their businesses.",,,,,New
Dathena Science,https://www.crunchbase.com/organization/dathena-science,"Artificial Intelligence, Big Data, Cyber Security, FinTech, Machine Learning, Natural Language Processing","Singapore, Central Region, Singapore","Dathena understands your data privacy and protection needs, and has solved them with our own revolutionary A.I.","65,173",1/1/16,year,https://www.dathena.io,hello@dathena.io,"Dathena Science has been​ founded with a vision of bringing a new paradigm to privacy and data security protection. In an ever-growing information flow.  Enterprises around the world face the daunting challenge of harnessing, managing and controlling data in a more regulated environment with growing societal expectation with regards to privacy protection. Leveraging the power of latest AI technologies, Dathena is delivering breakthrough solutions with unprecedented efficiency, speed and accuracy to secure the “privacy and data security protection journey” of its clients.",,,,,In Contact
IOTwitt Inc,https://www.crunchbase.com/organization/iotwitt-inc,"Cyber Security, Information and Communications Technology (ICT), Network Security","Honolulu, Hawaii, United States",Cyber security services enabling companies to encrypt communications in and between IoT devices,"66,009",1/5/17,day,http://iotwitt.com,rezag@hawaii.edu,IOTwitt platform enables secure communication in and between millions of devices. It creates a secure social network among devices and users of data in realtime and offline applications.,139750,USD,139750,,New
Barbara IoT,https://www.crunchbase.com/organization/barbara-iot,"Cyber Security, Embedded Software, Internet of Things, Operating Systems, Software","Madrid, Madrid, Spain",Barbara IoT is the company that develops Barbara platform for IoT device management.,"67,083",11/10/16,day,https://barbaraiot.com,info@barbaraiot.com,"Barbara IoT is a software manufacturer and their mission is to make the Internet of Things easy, safe and secure. Their products are conceived by user experience designers and coded by a powerful team of advanced engineers and cybersecurity experts.",71429,EUR,83346,,New
VChain Technology,https://www.crunchbase.com/organization/vchain-technology,"Blockchain, Cyber Security, SaaS","London, England, United Kingdom","VCT offers a SaaS verification solution for strategic data sharing, using it's own proprietary tech and a patented blockchain back-end.","67,511",1/8/16,day,http://www.vchain.tech,irra@vchain.tech,"VChain Technology offers a SaaS verification solution for strategic data sharing, using it's own proprietary tech and a patented blockchain back-end. It provides services for airlines and passport control services. VChain Technology was founded by Alexander Gorelik and Irra Ariella Khi in January 2016. It is headquartered in London, England.",715000,GBP,905735,,In Contact
AuthMetrik,https://www.crunchbase.com/organization/authmetrik,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security","Gurgaon, Haryana, India","SaaS, B2B, Security, Stop account sharing, Fraud Detection","68,393",2/1/18,month,http://authmetrik.com,bhavna.singh@authmetrik.com,AuthMetrik helps companies increase revenue by stopping unauthorized sharing of subscription accounts. It does this through Machine learning based algorithms which can identify the primary user through his/her key-stroke patterns in real time without impacting user experience.,10000,USD,10000,,New
Bright Pixel,https://www.crunchbase.com/organization/brightpixel,"Artificial Intelligence, Blockchain, Consulting, Cyber Security, Internet of Things, Legal, Retail Technology, Telecommunications","Lisbon, Lisboa, Portugal",Bright Pixel is a venture builder studio and early stage investor,"70,494",4/1/16,month,http://brpx.io,,"Bright Pixel is a group of experienced builders, creative thinkers and investors wanting to transform the way innovation meets companies and new ventures are born.",,,,,New
Signal Messenger,https://www.crunchbase.com/organization/signal-messenger,"Apps, Cyber Security, Messaging, Mobile Apps, Non Profit, Open Source","Mountain View, California, United States",Signal is an encrypted communications application for Android and iOS that focuses on advancing secure communications.,"72,960",1/10/18,day,https://signal.org/,support@signal.org,"Founded by Moxie Marlinspike in 2013, Open Whisper Systems is focused on the development of Signal. Signal is an encrypted communications application for Android and iOS that focuses on advancing secure communications. Signal is easy to use. Using Signal, users can communicate instantly while avoiding SMS fees, create groups so that they can chat in real time with all their friends at once, and share media or attachments all with complete privacy.",,,,,New
Cyware Labs,https://www.crunchbase.com/organization/cyware,"Cloud Security, Cyber Security, Information Technology, Network Security, News, Security, Software","New York, New York, United States","Cyware Labs is a Threat Intelligence Sharing and Cyber Fusion product-based cybersecurity company headquartered in New York, USA.","74,520",3/23/16,day,https://cyware.com/,marketing@cyware.com,"Cyware Labs is a product-based cybersecurity provider headquartered in New York, USA. Our pioneering solutions enable organizations to develop proactive cyber defense capabilities, effectively exchange strategic, tactical, and operational threat intelligence, and quickly respond to and manage security threats in real-time. Our unique products combine core facets of next-generation Security Operations and Intelligence Center (SOIC) such as Situational Awareness, Information Sharing, Cyber Threat Intelligence Exchange, Cyber Fusion, Threat Response, Security Automation and Orchestration to give our clients needed visibility and control, and advanced defensive capabilities, with exceptional performance while helping them in becoming a truly cyber resilient organization. Cyware solutions leverage advanced breakthroughs in Machine Learning, Artificial Intelligence, and Blockchain technologies to constantly challenge the security status quo and catalyze a growing ecosystem of empowered enterprises against the evolving threat landscape. Our clients include Fortune 500 financial, healthcare and defense organizations, multinational retail corporations, trade associations, industry groups (including ISACs and ISAOs), non-profits and government agencies.   About Products Cyware Situational Awareness Platform (CSAP) - A 24x7 platform for receiving, sharing and actioning comprehensive strategic intelligence and real-time alerts on the go via the web, email, and mobile. Cyware Threat Intelligence Exchange (CTIX) - An intelligent bi-directional client-server exchange that facilitates subscriber management and full tactical Threat Intel collection from multiple sources.  Cyware Fusion and Threat Response (CFTR) - A comprehensive cyber threat response solution equipped with threat intelligence, actor, malware, and vulnerability tracking, and cyber data fusion capabilities to produce a 360-degree view of the threat.",,,,,New
Deeptrace,https://www.crunchbase.com/organization/deeptrace,"Artificial Intelligence, Computer Vision, Cyber Security","Amsterdam, Noord-Holland, The Netherlands",The antivirus for deepfakes,"75,603",11/28/18,day,https://www.deeptracelabs.com,info@deeptracelabs.com,,,,,,New
Arceo.ai,https://www.crunchbase.com/organization/arceo-ai,"Analytics, Artificial Intelligence, Cyber Security, Risk Management","San Francisco, California, United States","Arceo.ai improves cyber resilience for businesses of any size, bridging cyber insurance and cyber security with advanced risk analysis.","76,760",1/1/16,year,https://www.arceo.ai/,isabelle@arceo.ai,"Arceo.ai improves cyber resilience for businesses of any size, bridging cyber insurance and cyber security with advanced risk analysis. The Arceo platform enables insurance carriers and brokers to provide new and innovative cyber insurance policies to a broader range of businesses.",,,,,In Contact
Differential Ventures,https://www.crunchbase.com/organization/differential-ventures,"Artificial Intelligence, B2B, Big Data, Cyber Security, Enterprise, FinTech, Machine Learning","New York, New York, United States",Early-stage venture capital fund,"76,859",1/1/17,year,http://www.differential.vc,,"Differential Ventures invests in seed-stage companies that deploy new enterprise solutions to collect, analyze and secure the massive amounts of data being created each day.  Some key sectors include: IoT and Sensory Systems AI and Machine Learning Cybersecurity FinTech",,,,,In Contact
Shufti Pro,https://www.crunchbase.com/organization/shufti-pro,"Analytics, Cyber Security, FinTech, Information Technology, Internet, SaaS","Bath, Bath and North East Somerset, United Kingdom",ShuftiPro is a leading digital verification system software that serves a diverse network of companies from different sectors.,"76,908",10/31/17,day,http://www.shuftipro.com,sales@shuftipro.com,"Shufti Pro’s AI technology enables user to perform highly sophisticated function in a much simple way when it comes to digital verification. It’s one of the most rapid and accurate solution to digital identification issues. If you are a business who has to go through the traditional methods of authentication of your customers, you are at the right place.  We have developed a system where all the verification processes are reduced to few steps and it hardly takes 30 seconds to complete an entire cycle of authentication. The best part is, every step happens in real-time.  There is absolutely no room for identity fraud because we provide an access to video proof of the authentication process with pictures. Special Facial Matching System authenticates the person who is holding the Picture ID and provides a hassle-free user experience. User just has to smile into the camera and hold the legal document that needs to be verified. It’s that simple!",,,,,New
Privacera,https://www.crunchbase.com/organization/privacera,"Big Data, Cloud Security, Cyber Security, Information Technology, Privacy","San Francisco, California, United States",Privacera provides a platform for companies to manage security and privacy challenges in their on-premise and cloud data platforms,"80,500",7/1/16,month,http://www.privacera.com,general@privacera.com,Privacera is  leading disruption and innovation in the data privacy protection and the governance space. Data is the fuel for the next set of growth in enterprises. Data should be democratized and shared to facilitate better decision making. Data sharing should happen without compromising on individual right to privacy.,,,,,New
SafeRide Technologies,https://www.crunchbase.com/organization/saferide-technologies,Cyber Security,"Tel Aviv, Tel Aviv, Israel",SafeRide provides anomaly uncovering and cyber threat prevention solution for connected and autonomous vehicles.,"82,082",1/1/16,year,https://saferide.io,info@Saferide.io,"SafeRide provides anomaly uncovering and cyber threat prevention solution for connected and autonomous vehicles. SafeRide offers a vehicle cyber security solution, targeted at commercial fleets and private vehicles, that enables vehicle safety, and protection of personal data & privacy, trade secrets, vendor reputation, business operations, intellectual property and human lives.",,,,,In Contact
